[2026-07-06  9:25:02,18] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260706_092503.csv
Output ticks   : logs\tick_ofi\tick_raw_20260706_092503.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260706_092503.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260706_092503.csv

[RUN] 102.4min | ticks=269797 | grp1: AAPL ofi1m=-0.16 cnt=339 | MSFT ofi1m=+0.75 cnt=142 | NVDA ofi1m=+0.51 cnt=542
[RUN] 103.4min | ticks=271477 | grp1: AAPL ofi1m=+0.29 cnt=257 | MSFT ofi1m=-0.06 cnt=171 | NVDA ofi1m=-0.26 cnt=555
[RUN] 104.4min | ticks=272878 | grp1: AAPL ofi1m=+0.38 cnt=267 | MSFT ofi1m=+0.36 cnt=183 | NVDA ofi1m=-0.03 cnt=649
[RUN] 105.4min | ticks=274318 | grp1: AAPL ofi1m=+0.50 cnt=553 | MSFT ofi1m=+0.37 cnt=169 | NVDA ofi1m=+0.12 cnt=394
[RUN] 106.4min | ticks=276254 | grp1: AAPL ofi1m=+0.46 cnt=745 | MSFT ofi1m=+0.49 cnt=168 | NVDA ofi1m=+0.17 cnt=542
[RUN] 107.4min | ticks=277570 | grp1: AAPL ofi1m=+0.26 cnt=414 | MSFT ofi1m=+0.13 cnt=171 | NVDA ofi1m=-0.02 cnt=433
[RUN] 108.4min | ticks=279144 | grp1: AAPL ofi1m=+0.20 cnt=465 | MSFT ofi1m=+0.28 cnt=246 | NVDA ofi1m=+0.07 cnt=560
[RUN] 109.4min | ticks=280628 | grp1: AAPL ofi1m=+0.33 cnt=304 | MSFT ofi1m=+0.33 cnt=171 | NVDA ofi1m=-0.02 cnt=518
[RUN] 110.4min | ticks=282283 | grp1: AAPL ofi1m=-0.36 cnt=346 | MSFT ofi1m=-0.34 cnt=101 | NVDA ofi1m=-0.18 cnt=875
[RUN] 111.4min | ticks=283953 | grp1: AAPL ofi1m=+0.17 cnt=292 | MSFT ofi1m=+0.22 cnt=154 | NVDA ofi1m=-0.31 cnt=927
