[2026-07-08  9:25:01,92] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260708_092502.csv
Output ticks   : logs\tick_ofi\tick_raw_20260708_092502.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260708_092502.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260708_092502.csv

[RUN] 77.1min | ticks=192474 | grp1: AAPL ofi1m=+0.16 cnt=328 | MSFT ofi1m=+0.41 cnt=128 | NVDA ofi1m=+0.16 cnt=676
[RUN] 78.2min | ticks=193640 | grp1: AAPL ofi1m=+0.17 cnt=232 | MSFT ofi1m=-0.03 cnt=149 | NVDA ofi1m=-0.24 cnt=551
[RUN] 79.2min | ticks=195097 | grp1: AAPL ofi1m=-0.09 cnt=293 | MSFT ofi1m=-0.22 cnt=195 | NVDA ofi1m=-0.20 cnt=662
[RUN] 80.2min | ticks=196651 | grp1: AAPL ofi1m=+0.47 cnt=231 | MSFT ofi1m=-0.08 cnt=199 | NVDA ofi1m=+0.19 cnt=764
[RUN] 81.2min | ticks=198375 | grp1: AAPL ofi1m=+0.04 cnt=285 | MSFT ofi1m=+0.41 cnt=179 | NVDA ofi1m=-0.38 cnt=914
[RUN] 82.2min | ticks=200285 | grp1: AAPL ofi1m=+0.17 cnt=397 | MSFT ofi1m=+0.03 cnt=135 | NVDA ofi1m=-0.16 cnt=1078
[RUN] 83.2min | ticks=201888 | grp1: AAPL ofi1m=+0.41 cnt=331 | MSFT ofi1m=+0.50 cnt=227 | NVDA ofi1m=+0.00 cnt=694
[RUN] 84.2min | ticks=203451 | grp1: AAPL ofi1m=-0.25 cnt=346 | MSFT ofi1m=-0.06 cnt=191 | NVDA ofi1m=+0.02 cnt=734
[RUN] 85.2min | ticks=205666 | grp1: AAPL ofi1m=+0.02 cnt=777 | MSFT ofi1m=-0.25 cnt=140 | NVDA ofi1m=-0.28 cnt=857
[RUN] 86.2min | ticks=207738 | grp1: AAPL ofi1m=-0.14 cnt=706 | MSFT ofi1m=-0.28 cnt=219 | NVDA ofi1m=-0.32 cnt=703
[RUN] 87.2min | ticks=209304 | grp1: AAPL ofi1m=+0.09 cnt=405 | MSFT ofi1m=+0.26 cnt=197 | NVDA ofi1m=-0.13 cnt=727
[RUN] 88.2min | ticks=210978 | grp1: AAPL ofi1m=+0.04 cnt=347 | MSFT ofi1m=+0.04 cnt=167 | NVDA ofi1m=-0.31 cnt=891
[RUN] 89.2min | ticks=225579 | grp1: AAPL ofi1m=-0.11 cnt=677 | MSFT ofi1m=-0.30 cnt=208 | NVDA ofi1m=+0.45 cnt=13184
[RUN] 90.2min | ticks=230907 | grp1: AAPL ofi1m=+0.08 cnt=265 | MSFT ofi1m=-0.07 cnt=117 | NVDA ofi1m=+0.07 cnt=4418
[RUN] 91.2min | ticks=239566 | grp1: AAPL ofi1m=-0.06 cnt=379 | MSFT ofi1m=-0.24 cnt=78 | NVDA ofi1m=+0.10 cnt=7930
[RUN] 92.2min | ticks=244731 | grp1: AAPL ofi1m=-0.12 cnt=441 | MSFT ofi1m=+0.08 cnt=140 | NVDA ofi1m=+0.06 cnt=4033
[RUN] 93.2min | ticks=248940 | grp1: AAPL ofi1m=+0.26 cnt=293 | MSFT ofi1m=+0.33 cnt=133 | NVDA ofi1m=+0.11 cnt=3011
[RUN] 94.2min | ticks=253118 | grp1: AAPL ofi1m=+0.24 cnt=324 | MSFT ofi1m=-0.30 cnt=161 | NVDA ofi1m=-0.22 cnt=3185
[RUN] 95.2min | ticks=256926 | grp1: AAPL ofi1m=+0.15 cnt=280 | MSFT ofi1m=-0.20 cnt=179 | NVDA ofi1m=+0.04 cnt=2730
[RUN] 96.2min | ticks=261973 | grp1: AAPL ofi1m=+0.18 cnt=303 | MSFT ofi1m=+0.07 cnt=132 | NVDA ofi1m=+0.30 cnt=3814
[RUN] 97.2min | ticks=264638 | grp1: AAPL ofi1m=-0.08 cnt=510 | MSFT ofi1m=-0.07 cnt=87 | NVDA ofi1m=+0.10 cnt=1776
[RUN] 98.2min | ticks=268191 | grp1: AAPL ofi1m=-0.31 cnt=262 | MSFT ofi1m=+0.18 cnt=221 | NVDA ofi1m=-0.37 cnt=2700
[RUN] 99.2min | ticks=270135 | grp1: AAPL ofi1m=+0.39 cnt=286 | MSFT ofi1m=-0.30 cnt=134 | NVDA ofi1m=-0.10 cnt=1026
[RUN] 100.3min | ticks=272539 | grp1: AAPL ofi1m=+0.25 cnt=306 | MSFT ofi1m=+0.01 cnt=185 | NVDA ofi1m=+0.29 cnt=1575
[RUN] 101.3min | ticks=275256 | grp1: AAPL ofi1m=+0.21 cnt=380 | MSFT ofi1m=+0.15 cnt=162 | NVDA ofi1m=-0.23 cnt=1811
[RUN] 102.3min | ticks=277302 | grp1: AAPL ofi1m=+0.51 cnt=487 | MSFT ofi1m=+0.15 cnt=272 | NVDA ofi1m=+0.11 cnt=1032
[RUN] 103.3min | ticks=279118 | grp1: AAPL ofi1m=+0.38 cnt=447 | MSFT ofi1m=-0.16 cnt=180 | NVDA ofi1m=-0.02 cnt=917
[RUN] 104.3min | ticks=280144 | grp1: AAPL ofi1m=-0.29 cnt=179 | MSFT ofi1m=-0.07 cnt=130 | NVDA ofi1m=+0.05 cnt=500
[RUN] 105.3min | ticks=281483 | grp1: AAPL ofi1m=+0.02 cnt=202 | MSFT ofi1m=-0.08 cnt=116 | NVDA ofi1m=+0.20 cnt=847
[RUN] 106.3min | ticks=282570 | grp1: AAPL ofi1m=+0.31 cnt=216 | MSFT ofi1m=-0.02 cnt=104 | NVDA ofi1m=-0.25 cnt=575
[RUN] 107.3min | ticks=284339 | grp1: AAPL ofi1m=+0.15 cnt=189 | MSFT ofi1m=-0.39 cnt=447 | NVDA ofi1m=-0.28 cnt=927
[RUN] 108.3min | ticks=285619 | grp1: AAPL ofi1m=+0.13 cnt=150 | MSFT ofi1m=+0.25 cnt=183 | NVDA ofi1m=-0.13 cnt=656
[RUN] 109.3min | ticks=287009 | grp1: AAPL ofi1m=-0.05 cnt=221 | MSFT ofi1m=+0.17 cnt=168 | NVDA ofi1m=-0.15 cnt=734
[RUN] 110.3min | ticks=288433 | grp1: AAPL ofi1m=+0.57 cnt=267 | MSFT ofi1m=+0.47 cnt=158 | NVDA ofi1m=-0.19 cnt=746
[RUN] 111.3min | ticks=291437 | grp1: AAPL ofi1m=-0.04 cnt=361 | MSFT ofi1m=-0.24 cnt=188 | NVDA ofi1m=-0.54 cnt=2142
[RUN] 112.3min | ticks=293143 | grp1: AAPL ofi1m=-0.14 cnt=285 | MSFT ofi1m=-0.14 cnt=140 | NVDA ofi1m=+0.18 cnt=895
[RUN] 113.3min | ticks=294944 | grp1: AAPL ofi1m=+0.10 cnt=381 | MSFT ofi1m=-0.17 cnt=308 | NVDA ofi1m=+0.13 cnt=767
[RUN] 114.3min | ticks=297060 | grp1: AAPL ofi1m=-0.06 cnt=406 | MSFT ofi1m=+0.54 cnt=249 | NVDA ofi1m=+0.06 cnt=973
[RUN] 115.3min | ticks=298752 | grp1: AAPL ofi1m=-0.26 cnt=368 | MSFT ofi1m=-0.30 cnt=255 | NVDA ofi1m=+0.04 cnt=747
[RUN] 116.3min | ticks=300724 | grp1: AAPL ofi1m=+0.50 cnt=354 | MSFT ofi1m=-0.18 cnt=276 | NVDA ofi1m=-0.22 cnt=951
[RUN] 117.3min | ticks=302447 | grp1: AAPL ofi1m=+0.06 cnt=437 | MSFT ofi1m=+0.36 cnt=125 | NVDA ofi1m=+0.07 cnt=803
[RUN] 118.3min | ticks=304270 | grp1: AAPL ofi1m=-0.23 cnt=354 | MSFT ofi1m=-0.06 cnt=158 | NVDA ofi1m=-0.24 cnt=1066
[RUN] 119.3min | ticks=306343 | grp1: AAPL ofi1m=+0.34 cnt=472 | MSFT ofi1m=-0.26 cnt=202 | NVDA ofi1m=-0.06 cnt=1025
